catch_terms,recode_column,organization_name,domains,country,parent_org,org_type,added
cheqbook,cheqbook,Cheqbook,cheqbook.com,NA,NA,software,
cherre,cherre,Cherre Inc.,cherre.com,United States of America,NA,software industry,
cherwell software,cherwell software,Cherwell Software,cherwell.com,United States of America,NA,enterprise software,
chg meridian,chg meridian,CHG-Meridian,chg-meridian.com,Germany,NA,technology management,
chi mei corporation,chi mei corporation,Chi Mei Corporation,chimeicorp.com,Taiwan,NA,biotechnology,
china biologic products,china biologic products,"China Biologic Products, Inc.",NA,NA,NA,biotechnology,
china electronics technology group corporation,china electronics technology group corporation,China Electronics Technology Group Corporation,cetc.com.cn,People's Republic of China,NA,information technology|communication device,
china greentech initiative,china greentech initiative,China greentech initiative,china-greentech.com,NA,NA,environmental technology,
china medical technologies,china medical technologies,China Medical Technologies,chinameditech.com,NA,NA,health technology,
choice provisions,choice provisions,Choice Provisions,totallychoice.com,United States of America,NA,video game industry,
choir coltd,choir coltd,"CHOIR Co.,LTD.",NA,Japan,NA,video game industry,
chordiant,chordiant,Chordiant,NA,United States of America,NA,software industry,
chorus worldwide,chorus worldwide,Chorus Worldwide,chorusworldwide.com,Japan,NA,video game industry,
chronic logic,chronic logic,Chronic Logic,chroniclogic.com,United States of America,NA,video game industry,
chronomics,chronomics,Chronomics,NA,United Kingdom,NA,biotechnology,
chs electronics,chs electronics,CHS Electronics,NA,NA,NA,software,
chukong technologies,chukong technologies,Chukong Technologies,NA,NA,NA,video game industry,
ci games sa,ci games sa,CI Games S.A.,cigames.com,Poland,NA,video game industry,
cimatron,cimatron,Cimatron,cimatron.com,Israel,NA,software,
cincom systems,cincom systems,Cincom Systems,cincom.com,United States of America,NA,software industry,
cinematronics,cinematronics,"Cinematronics, LLC",NA,United States of America,NA,video game industry,
cinemaware,cinemaware,"Cinemaware, Inc.",NA,United States of America,NA,video game industry,
ciphercloud,ciphercloud,CipherCloud,ciphercloud.com,United States of America,NA,software industry,
ciphergraph networks,ciphergraph networks,CipherGraph Networks,NA,United States of America,NA,software,
cipsoft gmbh,cipsoft gmbh,CipSoft GmbH,cipsoft.com,Germany,NA,video game industry,
circle entertainment,circle entertainment,CIRCLE Entertainment,cir-ent.com,United Kingdom|People's Republic of China|Hong Kong,NA,video game industry,
circleup,circleup,CircleUp,circleup.com,United States of America,NA,financial technology,
circus,circus,Circus,circus-co.jp,Japan,NA,video game industry,
cirquent,cirquent,Cirquent,cirquent.com,Germany,NA,information technology,
cision,cision,Cision,cision.com,United States of America,NA,technology industry,
cision,cision,Cision,cision.com,NA,NA,public relations|software industry,
cisofy,cisofy,CISOfy,cisofy.com,Netherlands,NA,information technology|software development|software industry|technology industry,
citeab,citeab,CiteAb,citeab.com,NA,NA,biotechnology,
citic guoan,citic guoan,CITIC Guoan,citicguoaninfo.com,People's Republic of China,NA,information technology,
citrix online,citrix online,Citrix Online,citrixonline.com,United States of America,NA,software,
citrix systems,citrix systems,Citrix Systems,citrix.com,United States of America,NA,technology|software industry,
citymapper,citymapper,Citymapper,citymapper.com,United Kingdom,NA,software,
ck life sciences,ck life sciences,CK Life Sciences,ck-lifesciences.com,NA,Cheung Kong Holdings,biotechnology,
clair brothers,clair brothers,Clair Brothers,clairglobal.com,NA,NA,Entertainment technology,
claris,claris,Claris,claris.com,United States of America,Apple Inc.,software,
clarizen,clarizen,Clarizen,clarizen.com,United States of America,NA,software,
classy (company),classy (company),Classy (company),classy.org,United States of America,NA,software industry,
clear,clear,Clear,somosclear.com,NA,NA,software industry|technology industry,
clearcube,clearcube,ClearCube,NA,NA,NA,information technology,
clearforest,clearforest,ClearForest,clearforest.com,United States of America,NA,software,
click commerce,click commerce,Click Commerce,NA,United States of America,NA,business software,
clickboom,clickboom,ClickBoom,NA,Canada,NA,video game industry,
clicksoftware technologies,clicksoftware technologies,ClickSoftware Technologies,clicksoftware.com,United States of America,Salesforce.com,business software,
clickteam,clickteam,Clickteam,clickteam.com,NA,NA,software industry,
cloanto,cloanto,Cloanto,cloanto.com,Italy|Nevada,NA,information technology,
clonaid,clonaid,Clonaid,clonaid.com,NA,NA,biotechnology,
cloudbees,cloudbees,CloudBees,cloudbees.com,NA,NA,software industry,
cloudcommerce,cloudcommerce,CloudCommerce,NA,United States of America,NA,software,
cloudera,cloudera,Cloudera,cloudera.com,United States of America,NA,software|data analytics software industry,
cloudflare,cloudflare,Cloudflare,cloudflare.com,United States of America,NA,information and communications technology,
cloudhealth technologies,cloudhealth technologies,CloudHealth Technologies,cloudhealthtech.com,United States of America,NA,software industry,
cloudian,cloudian,"Cloudian, Inc.",cloudian.com,NA,NA,information technology|computer data storage,
clydestone ghana,clydestone ghana,Clydestone Ghana,clydestone.com,NA,NA,information technology,
cmc limited,cmc limited,CMC Limited,NA,NA,NA,information technology,
cmune,cmune,CMUNE,cmune.com,NA,NA,video game industry,
coastal risk consulting,coastal risk consulting,Coastal Risk Consulting,coastalriskconsulting.com,NA,NA,software as a service,
cobalt networks,cobalt networks,Cobalt Networks,NA,United States of America,NA,software,
cobrasoft,cobrasoft,Cobrasoft,NA,NA,NA,video game industry,
cochlear limited,cochlear limited,Cochlear Limited,cochlear.com,Australia,NA,biotechnology,
cockos,cockos,Cockos,cockos.com,NA,NA,software industry,
cockpit,cockpit,Cockpit,NA,Japan,NA,video game industry,
cockroach labs,cockroach labs,Cockroach Labs,cockroachlabs.com,United States of America,NA,software,
coconuts japan,coconuts japan,Coconuts Japan,NA,Japan,NA,video game industry,
cocreate,cocreate,CoCreate,ptc.com,Germany,NA,software,
code rebel,code rebel,Code Rebel,coderebel.com,United States of America,NA,software,
codegear,codegear,CodeGear,codegear.com,United States of America,Embarcadero Technologies,software,
codesyntax,codesyntax,Codesyntax,codesyntax.com,NA,NA,software company,
codeweavers,codeweavers,CodeWeavers,NA,NA,NA,software industry,
codezela technologies,codezela technologies,Codezela Technologies,codezela.com,Sri Lanka,NA,software,
codix,codix,CODIX,codix.eu,NA,NA,software development|software industry,
cofactor,cofactor,Cofactor,cofactor.io,New Zealand,NA,information technology,
cofactor genomics,cofactor genomics,Cofactor Genomics,cofactorgenomics.com,NA,NA,biotechnology|service,
coffeecup software,coffeecup software,CoffeeCup Software,NA,NA,NA,software,
cofio software,cofio software,Cofio Software,cofio.com,United States of America,NA,software,
cofluent design,cofluent design,CoFluent Design,cofluentdesign.com,NA,NA,software,
cognizant,cognizant,Cognizant,cognizant.com,United States of America,NA,IT service management|information technology consulting,
cohesity,cohesity,Cohesity,cohesity.com,NA,NA,information technology|computer data storage,
coinbase,coinbase,Coinbase,coinbase.com,United States of America,NA,bitcoin|financial technology|cryptocurrency exchange|cryptocurrency industry,
coleco,coleco,Coleco,coleco.com,United States of America,NA,video game industry,
collabera,collabera,Collabera,collabera.com,United States of America,NA,human resource management|enterprise software|IT service management,
collabnet,collabnet,CollabNet,collab.net,United States of America,NA,software,
collaborative drug discovery,collaborative drug discovery,Collaborative Drug Discovery,collaborativedrug.com,United States of America,NA,information technology,
colloquis,colloquis,Colloquis,NA,NA,NA,software development,
colopl,colopl,COLOPL,colopl.co.jp,Japan,NA,video game industry,
color dreams,color dreams,Color Dreams,NA,NA,NA,video game industry,
columbia data products,columbia data products,Columbia Data Products,cdp.com,NA,NA,software,
colyinc,colyinc,coly.Inc,colyinc.com,Japan,NA,video game|mobile game,
com2us,com2us,Com2uS,com2us.com,South Korea,NA,video game developer,
comarch,comarch,Comarch,comarch.pl,Poland,NA,software industry,
comeet,comeet,Comeet,comeet.com,NA,NA,software|recruitment,
comm100,comm100,Comm100,comm100.com,NA,NA,software,
commfides norway,commfides norway,Commfides Norway,commfides.com,Norway,NA,technology company,
commodore international,commodore international,Commodore International,NA,United States of America,NA,consumer electronics|video game industry,
commtouch,commtouch,Commtouch,cyren.com,NA,NA,software,
compaq,compaq,Compaq,compaq.com,United States of America,NA,information technology,
compello,compello,Compello,compello.com,Norway,NA,information technology,
composite software,composite software,Composite Software,compositesw.com,United States of America,NA,software,
compozila co ltd,compozila co ltd,"Compozila Co., Ltd.",NA,Japan,NA,video game industry,
comptel corporation,comptel corporation,Comptel Corporation,comptel.com,NA,NA,communication software,
compugen,compugen,Compugen,cgen.com,Israel,NA,biotechnology,
compugen,compugen,Compugen Inc.,compugen.com,Canada,NA,information technology,
compulsion games,compulsion games,Compulsion Games,compulsiongames.com,Canada,Xbox Game Studios,video game industry,
computacenter,computacenter,Computacenter,computacenter.com,United Kingdom,NA,information technology|IT service management|information technology consulting,
computaris,computaris,Computaris,computaris.com,NA,NA,software,
computer sciences corporation,computer sciences corporation,Computer Sciences Corporation,csc.com,United States of America,NA,IT service management|information technology consulting,
computer usage company,computer usage company,Computer Usage Company,NA,NA,NA,software industry,
computer's dream,computer's dream,Computer's Dream,NA,NA,NA,video game industry,
computers and structures,computers and structures,Computers and Structures,csiamerica.com,United States of America,NA,software,
compuware,compuware,Compuware,compuware.com,NA,Thoma Bravo,information technology,
comsol,comsol,"COMSOL, Inc.",comsol.com,United States of America,COMSOL Group,software,
comverse,comverse,Comverse,cmvt.com,NA,NA,software,
concur technologies,concur technologies,Concur Technologies,concur.com,NA,SAP SE,software industry,
condusiv technologies,condusiv technologies,Condusiv Technologies,condusiv.com,United States of America,NA,software,
coneda ug,coneda ug,Coneda UG,coneda.net,NA,NA,software industry,
configit a/s,configit a/s,CONFIGIT A/S,configit.com,Denmark,NA,software industry,
confluence,confluence,Confluence,confluence.com,United States of America,NA,software,
conjuchem,conjuchem,ConjuChem,conjuchem.com,NA,NA,biotechnology,
connectcomau,connectcomau,Connect.com.au,NA,Australia,NA,information and communications technology,
connectify,connectify,Connectify,connectify.me,NA,NA,software,
connectix,connectix,Connectix,NA,NA,NA,software industry,
consona corporation,consona corporation,Consona Corporation,consona.com,NA,NA,software,
consonus,consonus,Consonus,consonus.com,NA,NA,information technology,
cooliris,cooliris,Cooliris,cooliris.com,United States of America,NA,software,
cope com,cope com,Cope-Com,cope-com.com,Denmark,NA,video game,
copernic,copernic,Copernic,copernic.com,NA,NA,software industry,
corel,corel,Corel,corel.com,Canada,Kohlberg Kravis Roberts,software industry,
coresoft,coresoft,Coresoft,coresoft.com,United States of America,NA,video game industry,
cosm,cosm,Cosm,xively.com,NA,NA,software,
cosmed,cosmed,COSMED,cosmed.com,NA,NA,health technology,
courage + khazaka,courage + khazaka,Courage + Khazaka,courage+khazaka.de,Germany,NA,biomedical engineering|measurement technique|cosmetics industry,
coursmos,coursmos,Coursmos,coursmos.com,NA,NA,educational technology,
craneballs,craneballs,Craneballs,craneballs.com,Czech Republic,NA,video game industry,
crashlytics,crashlytics,Crashlytics,crashlytics.com,NA,NA,software industry,
crawfish interactive,crawfish interactive,Crawfish Interactive,crawfish.co.uk,United Kingdom,NA,video game industry,
cray,cray,Cray,cray.com,United States of America,Hewlett Packard Enterprise,information technology|supercomputer,
crazy monkey studios,crazy monkey studios,Crazy Monkey Studios,crazymonkeystudios.com,Belgium,NA,video game industry,
cre p co ltd,cre p co ltd,"Cre-P Co., Ltd.",NA,Japan,NA,video game industry,
crealogix,crealogix,Crealogix,crealogix.com,NA,NA,software industry,
creative patterns,creative patterns,Creative Patterns,NA,NA,NA,video game industry,
creative wonders,creative wonders,Creative Wonders,NA,United States of America,NA,video game industry,
creativity software,creativity software,Creativity Software,NA,United Kingdom,NA,software industry,
creatures,creatures,Creatures,creatures.co.jp,Japan,Nintendo,video game industry,
credit sesame,credit sesame,Credit Sesame,creditsesame.com,United States of America,NA,financial services|financial technology,
creepy jar,creepy jar,Creepy Jar,creepyjar.com,Poland,NA,video game industry,
creoteam,creoteam,Creoteam,creoteam.com,Ukraine,NA,video game industry,
cri middleware,cri middleware,CRI Middleware,cri-mw.co.jp|cri-mw.com|criware.com|criware.cn,Japan,NA,video game industry,
crispr therapeutics,crispr therapeutics,CRISPR Therapeutics,crisprtx.com,Switzerland,NA,biotechnology industry,
critical manufacturing,critical manufacturing,Critical Manufacturing,NA,NA,NA,software,
critical path,critical path,"Critical Path, Inc.",NA,NA,NA,software,
critical software,critical software,Critical Software,criticalsoftware.com,Portugal,NA,software,
crosslateral enterprises,crosslateral enterprises,CrossLateral Enterprises,crosslateral.com.au,Australia,NA,information technology,
crossnet,crossnet,Crossnet,NA,Japan,NA,video game industry,
crowdfire,crowdfire,Crowdfire,crowdfireapp.com,NA,NA,social media|software industry,
crowdoptic,crowdoptic,"CrowdOptic, Inc.",crowdoptic.com,NA,NA,software,
crucell,crucell,Crucell,NA,Netherlands,NA,biotechnology,
crypton future media,crypton future media,Crypton Future Media,crypton.co.jp,Japan,NA,video game industry,
csl limited,csl limited,CSL Limited,csl.com.au,Australia,NA,biotechnology,
cuffs,cuffs,CUFFS,cuffs.co.jp,Japan,NA,video game industry,
cuidalos app,cuidalos app,Cuidalos App,cuidalos.dataxype.com,Argentina,NA,software development|software industry|technology industry,
cullinet,cullinet,Cullinet,NA,United States of America,NA,software company,
culture brain,culture brain,Culture Brain,culturebrainexcel.co.jp,Japan,NA,video game industry,
cúram software,cúram software,Cúram Software,curamsoftware.com,NA,NA,software,
curevac,curevac,CureVac,curevac.com,Germany,NA,biotechnology industry,
curotek,curotek,Curotek,curotek.com,United States of America,NA,software industry,
cutter consortium,cutter consortium,Cutter Consortium,cutter.com,United States of America,NA,information technology,
cyberark,cyberark,CyberArk,cyberark.com,United States of America,NA,software,
cyberdreams,cyberdreams,Cyberdreams,NA,United States of America,NA,video game industry,
cybereason,cybereason,Cybereason,cybereason.com,NA,NA,software,
cyberfront,cyberfront,CyberFront,cyberfront.co.jp,Japan,NA,video game industry,
cyberlink,cyberlink,CyberLink,cyberlink.com,Taiwan,NA,software company,
cyberpark,cyberpark,Cyberpark,cyberparkkerala.org,NA,NA,information technology,
cybersoft,cybersoft,Cybersoft,NA,United States of America,NA,video game industry,
cybertill,cybertill,Cybertill,cybertill.co.uk,NA,NA,software industry,
cybozu,cybozu,Cybozu,cybozu.co.jp,Japan,NA,software,
cycling '74,cycling '74,Cycling '74,cycling74.com,NA,NA,software,
cyclone graphics,cyclone graphics,Cyclone Graphics,cyclone-graphics.com,Japan,NA,video game industry,
cygames,cygames,Cygames,cygames.co.jp,Japan,CyberAgent,video game industry,
cygnus solutions,cygnus solutions,Cygnus Solutions,NA,United States of America,NA,software,
cylex,cylex,Cylex,cylex-international.com,NA,NA,local search|technology industry|internet industry,
cyodata,cyodata,Cyodata,cyodata.com,South Africa,NA,technology industry,
cypress systems,cypress systems,Cypress Systems,cypressingredients.com,United States of America,NA,biotechnology,
cyscon,cyscon,Cyscon,NA,Germany,NA,software industry,
d wonderland,d wonderland,D Wonderland,dwonderland.co.jp,Japan,NA,video game industry,
d sight,d sight,D-Sight,NA,Belgium,NA,software industry,
d2l,d2l,D2L,d2l.com,Canada,NA,educational system|software development,
d3 security management systems,d3 security management systems,D3 Security Management Systems,d3security.com,NA,NA,software,
d4 enterprise,d4 enterprise,D4 Enterprise,d4e.co.jp,Japan,NA,video game industry,
dafca,dafca,DAFCA,NA,NA,NA,information technology,
danetracks,danetracks,Danetracks,NA,United States of America,NA,video game industry,
danger,danger,"Danger, Inc.",NA,NA,Microsoft,software,
daon,daon,"Daon, Inc.",daon.com,NA,NA,software,
darkling room,darkling room,Darkling Room,NA,United Kingdom,NA,video game industry,
darxabre,darxabre,DarXabre,darxabregames.com,NA,NA,video game industry,
dassault systèmes,dassault systèmes,Dassault Systèmes,3ds.com,France,Dassault Group,software,
data age,data age,Data Age,NA,United States of America,NA,video game industry,
data design system,data design system,Data Design System,dds.no,Norway,NA,software,
data language,data language,Data Language,datalanguage.com,United Kingdom,NA,information technology|software industry,
data respons,data respons,Data Respons,datarespons.com,Norway,Akka Technologies,information technology,
data west,data west,DATA WEST,datawest.co.jp,Japan,NA,software development,
databricks,databricks,Databricks,databricks.com,United States of America,NA,software,
datacamp,datacamp,DataCamp,datacamp.com,NA,NA,educational technology,
datacap,datacap,Datacap,datacap.com,NA,NA,software industry,
datacert,datacert,Datacert,NA,NA,NA,software industry,
datacom group,datacom group,Datacom Group,NA,NA,NA,information technology consulting,
datalight,datalight,Datalight,datalight.com,United States of America,NA,software,
datam polystar,datam polystar,Datam Polystar,datam.co.jp,Japan,NA,video game industry,
datamatics global services,datamatics global services,Datamatics Global Services,datamatics.com,NA,NA,IT service management|information technology consulting,
datamirror,datamirror,DataMirror,datamirror.com,Canada,NA,software,
datamost,datamost,Datamost,NA,NA,NA,video game industry,
dataprobe,dataprobe,Dataprobe,dataprobe.com,NA,NA,information technology,
datastax,datastax,DataStax,datastax.com,United States of America,NA,software industry,
dataviz,dataviz,DataViz,dataviz.com,NA,BlackBerry,software,
datawatch corporation,datawatch corporation,Datawatch Corporation,datawatch.com,NA,NA,software,
dataxype,dataxype,DataXype,dataxype.com,Argentina,NA,software development|software industry|technology industry,
datel,datel,Datel,datel.co.uk,United Kingdom,NA,video game industry,
datev,datev,DATEV,datev.de,Germany,NA,data center|software company|Tax consultancy,
datix limited,datix limited,Datix Limited,datix.co.uk,NA,NA,software,
davidson & associates,davidson & associates,Davidson & Associates,NA,NA,NA,video game industry,
davilex games,davilex games,Davilex Games,davilex.com,NA,NA,video game industry,
davka,davka,Davka,davka.com,United States of America,NA,video game industry,
day software,day software,Day Software,day.com,United States of America|Switzerland,NA,software,
day7,day7,Day7,day7games.com,South Korea,NA,video game industry|interactive fiction,
db kommunikationstechnik,db kommunikationstechnik,DB Kommunikationstechnik,dbkommunikationstechnik.de,Germany,Deutsche Bahn,information and communications technology,
dbmaestro,dbmaestro,DBMaestro,dbmaestro.com,NA,NA,software industry,
dbv technologies,dbv technologies,DBV Technologies,dbv-technologies.com,France,NA,biotechnology,
dcr workforce,dcr workforce,DCR Workforce,NA,NA,NA,software,
dcsl guidesmiths,dcsl guidesmiths,DCSL GuideSmiths,dcsl.com,NA,NA,software development|Digital transformation,
dealersgear,dealersgear,DealersGear,dealersgear.com,United Kingdom,DealersGear,information technology,
debuz,debuz,Debuz,NA,Thailand,NA,video game development|game industry,
decision support panel,decision support panel,Decision Support Panel,NA,Sweden,NA,software industry,
deep shadows,deep shadows,Deep Shadows,deep-shadows.com,Ukraine,NA,video game industry,
deep web technologies,deep web technologies,Deep Web Technologies,deepwebtech.com,NA,NA,software,
defensenet,defensenet,Defense.Net,defense.net,NA,NA,information technology,
degica,degica,Degica,degica.com|degica.jp|degica.kr,Japan,NA,video game industry,
delicious monster,delicious monster,Delicious Monster,delicious-monster.com,United States of America,NA,software,
dell appassure,dell appassure,Dell AppAssure,software.dell.com,NA,NA,software,
dell,dell,Dell Inc.,dell.com,United States of America,Dell Technologies,computer hardware|software,
dell technologies,dell technologies,Dell Technologies,delltechnologies.com,United States of America,NA,information technology,
delorme,delorme,DeLorme,NA,United States of America,NA,software,
delphine software international,delphine software international,Delphine Software International,NA,France,NA,video game industry,
delrina,delrina,Delrina,delrina.com,NA,NA,software,
demandbase,demandbase,Demandbase,demandbase.com,United States of America,NA,software as a service,
demresa,demresa,demresa,demresa.com,Turkey,NA,software,
dena,dena,DeNA,dena.jp,Japan,NA,software development,
densify,densify,Densify,densify.com,Canada,NA,software industry,
denton designs,denton designs,Denton Designs,NA,United Kingdom,NA,video game industry,
dentsu,dentsu,Dentsu,dentsu.co.jp,Japan,NA,marketing|video game industry,
depyfag,depyfag,Depyfag,NA,Germany,NA,pyrotechnics,
deqx,deqx,DEQX,NA,Australia,NA,sound technology,
derwen,derwen,"Derwen, Inc.",NA,United States of America,NA,software industry,
design science,design science,Design Science,dessci.com,United States of America,NA,software industry,
deskera,deskera,Deskera,deskera.com,NA,NA,software industry|internet industry,
deutsche telekom it solutions slovakia,deutsche telekom it solutions slovakia,Deutsche Telekom IT Solutions Slovakia,deutschetelekomitsolutions.sk,Slovakia,Deutsche Telekom,information and communications technology,
devgen,devgen,DevGen,syngenta.com,Belgium,NA,agricultural biotechnology,
devicelogics,devicelogics,DeviceLogics,NA,United States of America,NA,software,
devolver digital,devolver digital,Devolver Digital,devolverdigital.com,United States of America,NA,video game industry|film industry,
devsisters,devsisters,Devsisters,devsisters.com,South Korea,NA,video game industry,
dharmacon,dharmacon,"Dharmacon, Inc.",dharmacon.gelifesciences.com,NA,NA,biotechnology,
diabetology ltd,diabetology ltd,Diabetology Ltd,diabetology.co.uk,United Kingdom,NA,biotechnology,
diasorin,diasorin,DiaSorin,diasoringroup.com,Italy,NA,biotechnology,
didi dache,didi dache,Didi Dache,xiaojukeji.com,NA,NA,transport|information technology,
die gute fabrik,die gute fabrik,Die Gute Fabrik,gutefabrik.com,Denmark,NA,video game industry,
digicube,digicube,DigiCube,NA,Japan,Square Enix,video game industry,
digimind,digimind,Digimind,digimind.com,NA,NA,software,
digion,digion,DigiOn,digion.com,NA,NA,software,
digital assembly,digital assembly,Digital Assembly,digital-assembly.com,NA,NA,software,
digital bros,digital bros,Digital Bros,NA,Italy,NA,video game industry,
digital café,digital café,Digital Café,NA,United States of America,NA,video game industry,
digital cybercherries,digital cybercherries,Digital Cybercherries,digitalcybercherries.com,NA,NA,video game industry,
digital eclipse,digital eclipse,Digital Eclipse,digitaleclipse.com,NA,NA,video game industry,
digital equipment corporation,digital equipment corporation,Digital Equipment Corporation,research.microsoft.com,United States of America,NA,information technology,
digital fuel,digital fuel,Digital Fuel,digitalfuel.com,United States of America,NA,software,
digital hearts usa,digital hearts usa,DIGITAL Hearts USA Inc.,NA,United States of America,NA,video game industry,
digital image design,digital image design,Digital Image Design,NA,United Kingdom,NA,video game industry,
digital mars,digital mars,Digital Mars,digitalmars.com,United States of America,NA,software industry,
digital media lab,digital media lab,Digital Media Lab,NA,Japan,NA,video game industry,
digital paradise,digital paradise,Digital Paradise,netopia.ph,NA,NA,information technology,
digital pictures,digital pictures,Digital Pictures,NA,United States of America,NA,video game industry,
digital research,digital research,Digital Research,digitalresearch.biz,NA,NA,software industry,
digital surf,digital surf,Digital Surf,digitalsurf.com,NA,NA,software,
digitalmania,digitalmania,DigitalMania,digitalmaniastudio.com,NA,NA,video game,
digitalthink,digitalthink,DigitalThink,NA,United States of America,NA,software,
digitrust,digitrust,DigiTrust,digitrust.com.au,Australia,NA,information technology|software industry|technology industry,
digiturbo,digiturbo,Digiturbo,digiturbo.co.jp,Japan,NA,video game industry,
dimagi,dimagi,Dimagi,dimagi.com,United States of America,NA,software,
dimagic co ltd,dimagic co ltd,"DiMAGIC Co., Ltd.",NA,Japan,NA,video game industry,
dimdim,dimdim,Dimdim,dimdim.com,United States of America,NA,software,
dimension cruise,dimension cruise,Dimension Cruise,NA,Japan,NA,video game industry,
dimension data,dimension data,Dimension Data,dimensiondata.com,NA,Nippon Telegraph and Telephone,information technology,
dimple entertainment,dimple entertainment,Dimple Entertainment,NA,Japan,NA,video game industry,
dinamic multimedia,dinamic multimedia,Dinamic Multimedia,dinamic.com,Spain,NA,video game industry,
dinamic software,dinamic software,Dinamic Software,NA,Spain,NA,video game industry,
dinkumware,dinkumware,Dinkumware,dinkumware.com,NA,NA,software,
discoverx,discoverx,DiscoveRx,discoverx.com,United States of America,NA,biotechnology,
disney interactive,disney interactive,Disney Interactive,disneyinteractive.com,United States of America,"The Walt Disney Company|Disney Parks, Experiences and Products",video game industry,
disney online studios canada,disney online studios canada,Disney Online Studios Canada,nhinteractive.com,NA,NA,video game industry,
dji,dji,DJI,dji.com,NA,NA,electronics|information technology|electronics industry,
dk games,dk games,DK-Games,dk-games.com,NA,NA,video game industry,
dk'tronics,dk'tronics,DK'Tronics,NA,United Kingdom,NA,video game industry,
dmailer,dmailer,Dmailer,dmailer.com,NA,NA,information technology,
dmarket,dmarket,DMarket,dmarket.com,Ukraine,NA,video game industry|blockchain,
dmmcom,dmmcom,DMM.com,dmm.com,Japan,NA,tertiary sector of the economy|video game industry,
dmsone,dmsone,DMSONE,dmsone.hu,Hungary,NA,software industry,
dna plant technology,dna plant technology,DNA Plant Technology,NA,United States of America,NA,biotechnology,
dna20,dna20,DNA2.0,atum.bio,United States of America,NA,biotechnology,
docker,docker,"Docker, Inc.",docker.com,NA,NA,business software industry,
docstar,docstar,DocSTAR,docstar.com,United States of America,NA,software,
doctrine,doctrine,Doctrine,doctrine.fr,France,NA,legal technology,
docudesk,docudesk,Docudesk,docudesk.com,United States of America,NA,software,
docugami,docugami,Docugami,NA,NA,NA,software industry,
docusign,docusign,DocuSign,docusign.com,United States of America,NA,business software industry,
docuware,docuware,DocuWare,docuware.com,Germany,NA,software,
doki denki studio,doki denki studio,Doki Denki Studio,NA,France,NA,video game industry,
dominion enterprises,dominion enterprises,Dominion Enterprises,dominionenterprises.com,NA,Landmark Media Enterprises,software,
domo,domo,Domo,domo.com,United States of America,NA,business software industry,
dontnod entertainment,dontnod entertainment,Dontnod Entertainment,dont-nod.com,France,NA,video game industry,
doofinder,doofinder,Doofinder,doofinder.com,Spain,NA,software industry,
dorasu corporation,dorasu corporation,Dorasu Corporation,dorasu.com,Japan,NA,video game industry,
dorner electronic,dorner electronic,Dorner Electronic,dorner.at,NA,NA,software,
dos13 corporation,dos13 corporation,DOS13 Corporation,dos13.com,NA,NA,IT service management|information technology consulting,
double aught,double aught,Double Aught,NA,United States of America,NA,video game industry,
doubletap games,doubletap games,DoubleTap Games,doubletapgames.biz,United States of America,NA,video game industry,
doubtnut,doubtnut,Doubtnut,doubtnut.com,India,NA,Internet|software industry|internet industry,
dovetail,dovetail,Dovetail,dovetailapp.com,NA,NA,software as a service,
dovogame,dovogame,Dovogame,NA,United States of America,NA,video game industry,
dr movie,dr movie,DR Movie,drmovie.biz,South Korea,NA,video game industry,
draftkings,draftkings,DraftKings,draftkings.com,United States of America,NA,sports betting|fantasy sports video game,
dreadlocks ltd,dreadlocks ltd,Dreadlocks Ltd,dreadlocks.cz,Czech Republic,NA,video game industry,
dreambox,dreambox,DreamBox,dreambox.com,United States of America,NA,educational technology,
dreamcatcher interactive,dreamcatcher interactive,DreamCatcher Interactive,dreamcatchergames.com,Canada,NA,video game industry,
dreamscape immersive,dreamscape immersive,Dreamscape Immersive,dreamscapeimmersive.com,United States of America,NA,software industry,
drosoft,drosoft,DROsoft,NA,Spain,NA,video game industry,
dtsearch corp,dtsearch corp,DtSearch Corp.,dtsearch.com,NA,NA,software,
dundee cell products,dundee cell products,Dundee Cell Products,dundeecellproducts.com,NA,NA,biotechnology,
dvdvideosoft,dvdvideosoft,DVDVideoSoft,dvdvideosoft.com,NA,NA,software,
dynacom,dynacom,Dynacom,NA,Brazil,NA,video game industry|telecommunications industry,
dynamic planning,dynamic planning,Dynamic Planning,mazin-go.com,Japan,NA,video game industry,
e frontier,e frontier,E Frontier,e-frontier.co.jp,NA,NA,software,
e line media,e line media,E-Line Media,elinemedia.com,United States of America,NA,video game industry,
e mu systems,e mu systems,E-mu Systems,emu.com,United States of America,NA,software industry,
ea phenomic,ea phenomic,EA Phenomic,phenomic.de,Germany,NA,video game industry,
ea sports,ea sports,EA Sports,easports.com,United States of America,Electronic Arts,video game industry,
eagle dynamics,eagle dynamics,Eagle Dynamics,digitalcombatsimulator.com,Russia,NA,video game industry,
earlysense,earlysense,EarlySense,NA,NA,NA,health technology,
earnin,earnin,Earnin,NA,United States of America,NA,financial technology,
easy software products,easy software products,Easy Software Products,NA,NA,NA,software,
eaton industries,eaton industries,Eaton Industries,eaton.de|moeller.net,Germany,Eaton Corporation,electrical engineering|automation technology,
eazel,eazel,Eazel,NA,NA,NA,software development,
ebsco industries,ebsco industries,EBSCO Industries,ebscoind.com,United States of America,NA,information technology,
echoworx,echoworx,Echoworx,NA,NA,NA,software,
eclipsys,eclipsys,Eclipsys,eclipsys.com,NA,NA,health information technology,
ecole software,ecole software,Ecole Software,e56.info,Japan,NA,video game industry,
