Unit Id,Institution Name,Name of chief administrator,Title of chief administrator,General information telephone,Office of Postsecondary Education (OPE) ID,Address,Website address
163046,Loyola University Maryland,"Rev Brian F. Linnane, S.J.",President,"4,106,172,000",207800,"4501 N Charles St, Baltimore, MD 21210-2699",www.loyola.edu
163204,University of Maryland Global Campus,Javier Miyares,President,"3,019,857,000",1164400,"3501 University Blvd East, Adelphi, MD 20783-8010",www.umgc.edu
163259,"University of Maryland, Baltimore","Jay A. Perman, MD",President,"4,107,063,100",210400,"620 West Lexington St, Baltimore, MD 21201-1627",www.umaryland.edu
163268,University of Maryland-Baltimore County,Freeman A Hrabowski,President,"4,104,551,000",210500,"1000 Hilltop Circle, Baltimore, MD 21250",umbc.edu
163286,University of Maryland-College Park,Wallace D. Loh,President,"3,014,051,000",210300,"College Park, MD 20742",www.umd.edu
163295,Maryland Institute College of Art,Samuel Hoi,President,"4,106,699,200",208000,"1300 Mount Royal Avenue, Baltimore, MD 21217-4134",www.mica.edu
163338,University of Maryland Eastern Shore,"Heidi M. Anderson, Ph.D.",President,"4,106,512,200",210600,"J.T. Williams Hall, Princess Anne, MD 21853-1299",www.umes.edu
163347,Fortis Institute-Towson,Sean London,Campus President,"4,103,375,155",1031900,"700 York Road, Towson, MD 21204-9840",https://www.fortis.edu
163408,Montgomery Beauty School,"James Bilney, Jr",School Director,"301,459,250,913",2343800,"8736 Arliss St, Silver Spring, MD 20901",www.MontgomeryBeautySchool.com
163426,Montgomery College,Dr. DeRionne Pollard,President,"2,405,675,000",691100,"51 Mannakee Street, Rockville, MD 20850",www.montgomerycollege.edu
163453,Morgan State University,David Wilson,President,"4,438,853,333",208300,"1700 East Cold Spring Lane, Baltimore, MD 21251-0001",https://www.morgan.edu
163462,Mount St. Mary's University,Timothy E. Trainor,President,"3,014,476,122",208600,"16300 Old Emmitsburg Road, Emmitsburg, MD 21727-7799",https://msmary.edu
163532,Ner Israel Rabbinical College,Sheftel Neuberger,President,"4,104,847,200",208700,"400 Mount Wilson Ln, Baltimore, MD 21208",https://nirc.edu
163541,Hair Academy Inc-New Carrollton,Carl F. Catlin,President,"301,459,250,913",2333000,"8435 Old Annapolis Rd, New Carrollton, MD 20784",www.HairAcademyMD.com
163578,Notre Dame of Maryland University,Mary Lou Yam,President,"4,104,350,100",206500,"4701 N Charles St, Baltimore, MD 21210-2476",www.ndm.edu
163657,Prince George's Community College,Charlene M. Dukes,President,"3,015,467,422",208900,"301 Largo Rd, Largo, MD 20774-2199",www.pgcc.edu
163754,Robert Paul Academy of Cosmetology Arts & Sciences,Daria Ferrara,Director,"4,102,524,244",2495000,"29 Greenmeadow Dr, Timonium, MD 21093",www.robertpaulacademy.com
163815,Maryland Beauty Academy of Essex,Justin Sisserman,Administrator,"4,435,038,630",2331000,"7930 Eastern Ave, Suite 5, Baltimore, MD 21224",www.baltimorestudio.com
163851,Salisbury University,Dr. Charles A. Wight,President,"4,105,436,000",209100,"1101 Camden Ave, Salisbury, MD 21801-6862",https://www.salisbury.edu
163912,St. Mary's College of Maryland,Tuajuanda C. Jordan,President,"2,408,952,000",209500,"47645 College Drive, St. Mary's City, MD 20686",www.smcm.edu
163976,St. John's College,Panayiotis (Pano) Kanelos,President,"4,102,632,371",209200,"60 College Ave, Annapolis, MD 21401",www.sjc.edu
164076,Towson University,Dr. Kim E. Schatzel,President,"4,107,042,000",209900,"8000 York Rd, Towson, MD 21252-0001",www.towson.edu
164085,Maryland University of Integrative Health,Mr. Marc Levin,President and CEO,"4,108,889,048",2578400,"7750 Montpelier Road, Laurel, MD 20723",WWW.muih.EDU
164155,United States Naval Academy,"Sean S. Buck, VADM",Superintendent,"4,102,931,482",210100,"121 Blake Road, Annapolis, MD 21402-5000",www.usna.edu
164173,Stevenson University,Elliot Hirshman Ph.D.,President,"4,104,867,000",210700,"1525 Greenspring Valley Rd, Stevenson, MD 21153-0641",www.stevenson.edu
164216,Washington College,Kurt Landgraf,President,"4,107,782,800",210800,"300 Washington Ave, Chestertown, MD 21620-1438",www.washcoll.edu
164270,McDaniel College,Roger Casey,President,"4,108,487,000",210900,"2 College Hill, Westminster, MD 21157",www.mcdaniel.edu
164313,Wor-Wic Community College,Dr. Murray K. Hoy,President,"4,103,342,800",2073900,"32000 Campus Drive, Salisbury, MD 21804-7131",www.worwic.edu
164368,Hult International Business School,Stephen Hodges,President,"6,176,191,743",4143200,"1 Education Street, Cambridge, MA 02141-1805",www.hult.edu
164447,American International College,Vincent M. Maniaci,President,"4,137,377,000",211400,"1000 State Street, Springfield, MA 01109",www.aic.edu
164465,Amherst College,Carolyn A. Martin,President,"4,135,422,000",211500,"Boltwood Avenue, Amherst, MA 01002-5000",www.amherst.edu
164492,Anna Maria College,Mary Lou Retelle,President,"5,088,493,300",211700,"50 Sunset Lane, Paxton, MA 01612-1198",www.annamaria.edu
164535,Assabet Valley Regional Technical School,Ernest F. Houle,Superintendent-Director,"5,084,859,430",2169900,"215 Fitchburg St, Marlborough, MA 01752",www.assabet.org
164562,Assumption College,Francesco C. Cesareo,President,"5,087,677,000",211800,"500 Salisbury St, Worcester, MA 01609-1296",https://www.assumption.edu
164580,Babson College,Stephen Spinelli Jr.,President,"7,812,351,200",212100,"231 Forest Street, Wellesley, MA 02457-0310",www.babson.edu
164599,Bancroft School of Massage Therapy,Steven Tankanow,President,"5,087,577,923",2337400,"333 Shrewsbury St, Worcester, MA 01604",https://www.bancroftsmt.com
164614,Boston Baptist College,David Melton,President,"61,736,435,100",3248300,"950 Metropolitan Ave, Boston, MA 02136-4030",Boston.edu
164632,Bay Path University,Carol A Leary,President,"4,135,651,000",212200,"588 Longmeadow Street, Longmeadow, MA 01106",www.baypath.edu
164641,Bay State College,Mark Defusco,President,"6,172,179,000",396500,"31 St. James Avenue, Boston, MA 02116",www.baystate.edu
164720,Becker College,"Nancy P. Crimmin, Ed.D.",President,"8,775,232,537",212300,"61 Sever St, Worcester, MA 01609-2165",www.becker.edu
164739,Bentley University,Dr. Alison Davis-Blake,President,"7,818,912,000",212400,"175 Forest St, Waltham, MA 02452-4705",www.bentley.edu
164748,Berklee College of Music,Roger H. Brown,President,"6,177,472,222",212600,"1140 Boylston St, Boston, MA 02215",www.berklee.edu
164775,Berkshire Community College,Ellen Kennedy,President,"4,134,994,660",216700,"1350 West Street, Pittsfield, MA 01201-5786",www.berkshirecc.edu
164845,Empire Beauty School-Boston,Franklin K. Schoeneman,Chairman/CEO,"8,009,204,593",817807,"30 West Street, Boston, MA 02111",www.empire.edu
164872,Boston Architectural College,Mahesh Daas,President,"6,172,625,000",396600,"320 Newbury Street, Boston, MA 02115-2703",www.the-bac.edu
164915,Boston Graduate School of Psychoanalysis Inc,Jane Snyder,President,"6,172,773,915",3194300,"1581 Beacon Street, Brookline, MA 02446",https://www.bgsp.edu/
164924,Boston College,"William P. Leahy, S.J.",President,"6,175,528,000",212800,"140 Commonwealth Avenue, Chestnut Hill, MA 02467",www.bc.edu
164988,Boston University,Robert  A. Brown,President,"6,173,532,000",213000,"One Silber Way, Boston, MA 02215",www.bu.edu
165015,Brandeis University,Ronald D. Liebowitz,President,"7,817,362,000",213300,"415 South St, Waltham, MA 02454-9110",www.brandeis.edu/
165024,Bridgewater State University,Fred Clark,President,"5,085,311,000",218300,"131 Summer Street, Bridgewater, MA 02325",www.bridgew.edu
165033,Bristol Community College,"Laura L. Douglas, PhD.",President,"5,086,782,811",217600,"777 Elsbree St, Fall River, MA 02720-7395",www.bristolcc.edu
165060,Signature Healthcare Brockton Hospital School of Nursing,Susan Taylor,Dean,"5,089,417,040",632200,"53 Adams Street, Brockton, MA 02302-1905",www.bhson.org
165112,Bunker Hill Community College,Pam Y. Eddinger,President,"6,172,282,000",1121000,"250 New Rutherford Ave, Boston, MA 02129-2925",www.bhcc.mass.edu
165167,Cambridge College,Deborah Jackson,President,"6,178,681,000",2182900,"500 Rutherford Avenue, Boston, MA 02129",www.cambridgecollege.edu
165194,Cape Cod Community College,John Cox,President,"50,836,221,314,311",216800,"2240 Iyannough Rd, West Barnstable, MA 02668-1599",www.capecod.edu
165255,Catherine Hinds Institute of Esthetics,Stephanie Rucki,Director of Compliance,"7,819,353,344,244",2220400,"300 Wildwood Avenue, Woburn, MA 01801-6819",www.catherinehinds.edu
165264,Laboure College,Lily Hsu,President,"6,172,968,300",632400,"303 Adams Street, Milton, MA 02186",www.laboure.edu/about-labour-
165334,Clark University,David P. Angel,President,"5,087,937,711",213900,"950 Main St, Worcester, MA 01610-1477",www.clarku.edu
165495,Conway School of Landscape Design,Bruce Stedman,Executive Director,"4,133,694,044",2274300,"88 Village Hill Road, Northampton, MA 01060",www.csld.edu
165529,Curry College,Kenneth K Quigley Jr,President,"6,173,330,500",214300,"1071 Blue Hill Ave, Milton, MA 02186-2395",https://www.curry.edu
165556,Lincoln Technical Institute-Somerville,Michelle McCarthy,Regional Campus President,"617,776,350,043,800",1246115,"5 Middlesex Ave, Somerville, MA 02145",www.lincolntech.edu/campus/somerville-ma
165574,Dean College,Dr. Paula M. Rooney,President,"5,085,411,900",214400,"99 Main Street, Franklin, MA 02038-1941",www.dean.edu
165608,Diman Regional Technical Institute,Elvio Ferreira,Interim Superintendent-Director/Principal,"50,867,229,706,021",551900,"251 Stonehaven Rd, Fall River, MA 02723",www.dimanregional.org
165635,National Aviation Academy of New England,Pamela Van Sant,President/Chief Operating Officer,"7,812,748,448",613600,"130 Baker Ave Extension, Concord, MA 01742",www.naa.edu
165644,Eastern Nazarene College,Rev. Dr. Jack Connell,President,"6,177,453,000",214500,"23 E Elm Ave, Quincy, MA 02170-2999",www.enc.edu
165662,Emerson College,M. Lee Pelton,President,"6,178,248,500",214600,"120 Boylston Street, Boston, MA 02116-4624",www.emerson.edu
165671,Emmanuel College,"Sister Janet Eisner, SND",President,"6,177,359,715",214700,"400 The Fenway, Boston, MA 02115",www.emmanuel.edu
165699,Endicott College,Dr. Steven DiSalvo,President,"9,789,270,585",214800,"376 Hale Street, Beverly, MA 01915",www.endicott.edu
165750,Rob Roy Academy-Fall River,Robert Lapierre,President,"5,086,724,751",1294800,"260 S Main St, Fall River, MA 02720-3445",www.rob-roy.com
165802,Fisher College,Dr. Alan Ray,President,"6,172,368,800",215000,"118 Beacon Street, Boston, MA 02116",www.fisher.edu
165820,Fitchburg State University,Dr. Richard S. Lapidus,President,"9,783,452,151",218400,"160 Pearl St, Fitchburg, MA 01420-2697",www.fitchburgstate.edu
165866,Framingham State University,"F. Javier Cevallos, PhD",President,"5,086,201,220",218500,"100 State Street, Framingham, MA 01701-9101",www.framingham.edu/
165884,Benjamin Franklin Institute of Technology,Anthony Benoit,President,"6,174,234,630",215100,"41 Berkeley St, Boston, MA 02116",www.bfit.edu/
165936,Gordon College,D. Michael Lindsay,President,"9,789,272,300,978",215300,"255 Grapevine Rd, Wenham, MA 01984",www.gordon.edu
165945,Gordon-Conwell Theological Seminary,Scott W. Sunquist,President,"9,784,687,111",974700,"130 Essex St, South Hamilton, MA 01982",www.gordonconwell.edu
165981,Greenfield Community College,Dr. Yves Salomon-Fernandez,President,"4,137,751,000",216900,"One College Dr, Greenfield, MA 01301-9739",www.gcc.mass.edu
166018,Hampshire College,Edward Wingenbach,President,"4,135,494,600",466100,"893 West St, Amherst, MA 01002-5001",www.hampshire.edu
166027,Harvard University,Lawrence S. Bacow,President,"6,174,951,000",215500,"Massachusetts Hall, Cambridge, MA 02138",www.harvard.edu
166045,Hebrew College,Sharon Cohen Anisfeld,President,"6,175,598,600",215700,"160 Herrick Road, Newton Centre, MA 02459-2237",www.hebrewcollege.edu
166054,Hellenic College-Holy Cross Greek Orthodox School of Theology,Gary Alexander,Chief Operating Officer,"61,773,135,001,222",215400,"50 Goddard Ave, Brookline, MA 02445-7415",www.hchc.edu
166124,College of the Holy Cross,"Rev. Philip L. Boroughs, S.J.",President,"5,087,932,011",214100,"One College Street, Worcester, MA 01610-2395",www.holycross.edu
166133,Holyoke Community College,Christina Royal,President,"4,135,522,000",217000,"303 Homestead Ave, Holyoke, MA 01040",www.hcc.edu
166391,Lasell University,Michael B. Alexander,President,"6,172,432,000",215800,"1844 Commonwealth Avenue, Newton, MA 02466",www.lasell.edu/
166407,Lawrence Memorial Hospital School of Nursing,Susan Sandberg,CEO,"7,813,066,600",633100,"170 Governors Ave, Medford, MA 02155",www.lmregis.org
166452,Lesley University,Janet Steinmayer,President,"6,178,689,600",216000,"29 Everett St, Cambridge, MA 02138-2790",www.lesley.edu
166489,Longy School of Music of Bard College,Karen Zorn,President,"6,178,760,956",267104,"27 Garden Street, Cambridge, MA 02138",longy.edu
166498,Lowell Academy Hairstyling Institute,Carla Graham,President,"9,784,533,235",989900,"136 Central St, Lowell, MA 01852-1909",www.lowellacademy.com
166513,University of Massachusetts-Lowell,Jacqueline Moloney,Chancellor,"9,789,344,000",216100,"1 University Ave, Lowell, MA 01854-5104",www.uml.edu
166629,University of Massachusetts-Amherst,Kumble R. Subbaswamy,Chancellor,"4,135,450,111",222100,"374 Whitmore Building 181 Presidents Drive, Amherst, MA 01003",www.umass.edu
166638,University of Massachusetts-Boston,Katherine Newman,Interim Chancellor,"6,172,875,000",222200,"100 Morrissey Boulevard, Boston, MA 02125-3393",www.umb.edu
166647,Massachusetts Bay Community College,"David Podell, PhD",President,"7,812,393,000",217100,"50 Oakland St, Wellesley Hills, MA 02481-5399",https://www.massbay.edu
166656,MCPHS University,Charles F Monahan Jr,President,"6,177,322,800",216500,"179 Longwood Ave, Boston, MA 02115-5896",www.mcphs.edu
166674,Massachusetts College of Art and Design,"David P. Nelson, PhD",President,"6,178,797,000",218000,"621 Huntington Ave, Boston, MA 02115-5882",www.massart.edu
166683,Massachusetts Institute of Technology,L. Rafael Reif,President,"6,172,531,000",217800,"77 Massachusetts Avenue, Cambridge, MA 02139-4307",web.mit.edu/
166692,Massachusetts Maritime Academy,Francis X. McDonald,President,"5,088,305,000",218100,"101 Academy Dr, Buzzards Bay, MA 02532-1803",www.maritime.edu
166708,University of Massachusetts Medical School Worcester,"Michael F. Collins, MD",Chancellor,"5,088,568,989",975600,"55 Lake Ave North, Worcester, MA 01655",www.umassmed.edu
166717,William James College,"Nicholas Covino, Psy.D.",President,"6,173,276,777",2163600,"One Wells Avenue, Newton, MA 02459",www.williamjames.edu
166805,Massachusetts School of Barbering,Alan Conragan,Director,"6,177,704,444",2092100,"58 Ross Way, Quincy, MA 02169",massschoolofbarbering.com
166823,Massasoit Community College,Dr. Gena Glickman,President,"5,085,889,100",217700,"One Massasoit Boulevard, Brockton, MA 02302-3996",www.massasoit.edu
166850,Merrimack College,Christopher E. Hopey,President,"9,788,375,000",212000,"315 Turnpike St, North Andover, MA 01845",https://www.merrimack.edu
166869,MGH Institute of Health Professions,Paula Milone-Nuzzo,President,"6,177,262,947",2231600,"36 1st Avenue, Boston, MA 02129-4557",www.mghihp.edu
166887,Middlesex Community College,James Mabry,President,"9,786,563,370",993600,"591 Springs Rd, Bedford, MA 01730-9124",https://www.middlesex.mass.edu
166911,Montserrat College of Art,"Kurt Steinberg, Ed.D",President,"9,789,214,242",2063000,"23 Essex Street, Beverly, MA 01915-4508",https://www.montserrat.edu/
166939,Mount Holyoke College,Sonya Stephens,President,"4,135,382,000",219200,"50 College Street, South Hadley, MA 01075-1489",https://www.mtholyoke.edu
166957,Mount Wachusett Community College,James Vander Hooven,President,"9,786,326,600",217200,"444 Green St, Gardner, MA 01440-1000",MWCC.EDU
167039,Rob Roy Academy-New Bedford,Robert Lapierre,President,"5,089,958,711",2339400,"1872 Acushnet Ave, New Bedford, MA 02720-3445",www.rob-roy.com
167057,The New England Conservatory of Music,Andrea Kalyn,President,"6,175,851,100",219400,"290 Huntington Ave, Boston, MA 02115-5018",https://necmusic.edu
167093,New England College of Optometry,"Howard Purcell, OD,",President,"6,172,662,030",216400,"424 Beacon St, Boston, MA 02115",www.neco.edu
167215,New England Law-Boston,John F. O'Brien,Prresident,"6,174,510,010",891600,"154 Stuart St, Boston, MA 02116",www.nesl.edu
167224,New England School of Photography,William Carruthers,President,"6,174,371,868",2163500,"274 Moody Street, Waltham, MA 02453",https://www.NESOP.edu
167260,Nichols College,Susan West Engelkemeyer,President,"8,004,703,379",219700,"Center Rd, Dudley, MA 01571-5000",www.nichols.edu
167288,Massachusetts College of Liberal Arts,James F. Birge,President,"4,136,625,000",218700,"375 Church Street, North Adams, MA 01247-4100",www.mcla.edu
167297,North Bennet Street School,Sarah Turner,President,"6,172,270,155,100",2197900,"150 North Street, Boston, MA 02109",www.nbss.edu
167312,North Shore Community College,Patricia Gentile,President,"97,876,240,004,350",217300,"1 Ferncroft Rd, Danvers, MA 01923-0840",www.northshore.edu
167358,Northeastern University,Joseph E. Aoun,President,"6,173,732,000",219900,"360 Huntington Ave, Boston, MA 02115-5005",www.northeastern.edu
167376,Northern Essex Community College,Dr. Lane Glenn,President,"9,785,563,000",217400,"100 Elliott Street, Haverhill, MA 01830-2399",www.necc.mass.edu/
167394,College of Our Lady of the Elms,"Harry E. Dumay, Ph.D.",President,"4,135,942,761",214000,"291 Springfield St, Chicopee, MA 01013",https://www.elms.edu
167455,Pine Manor College,Thomas M. O'Reilly,President,"6,177,317,000",220100,"400 Heath St, Chestnut Hill, MA 02467",www.pmc.edu
167464,Pope St John XXIII National Seminary,Most Rev. Brian Kiely,President,"7,818,995,500",220200,"558 South Ave, Weston, MA 02493-2699",www.psjs.edu
167525,Quincy College,Daniel M. Asquino,President/CEO,"8,006,981,700",220500,"1250 Hancock Street, Quincy, MA 02169",https://www.quincycollege.edu
167534,Quinsigamond Community College,Luis Pedraja,President,"5,088,532,300",217500,"670 West Boylston Street, Worcester, MA 01606-2092",www.qcc.edu
167598,Regis College,Kate S. Korzendorfer,CIO,"7,817,687,000",220600,"235 Wellesley St, Weston, MA 02493-1571",www.regiscollege.edu
167631,Roxbury Community College,Dr. Valerie Roberson,President,"6,174,270,060",1193000,"1234 Columbus Ave, Roxbury Crossing, MA 02120-3400",www.rcc.mass.edu
167677,Saint John's Seminary,Rev. Stephen Salocks,Interim Rector,"6,172,542,610",221400,"127 Lake Street, Brighton, MA 02135-3846",www.sjs.edu
167729,Salem State University,John Keenan,President,"9,785,426,000",218800,"352 Lafayette St, Salem, MA 01970",www.salemstate.edu
167783,Simmons University,Helen Drinan,President,"6,175,212,000",220800,"300 The Fenway, Boston, MA 02115-5898",www.simmons.edu
167792,Bard College at Simon's Rock,Ian Bickford,Provost and Vice President,"4,136,444,400",964500,"84 Alford Road, Great Barrington, MA 01230-9702",www.simons-rock.edu/
167835,Smith College,Kathleen McCartney,President,"4,135,842,700",220900,"Elm St, Northampton, MA 01063",www.smith.edu
167871,Southeastern Technical Institute,Luis Lopes,Superintendent,"5,082,301,297",1238600,"250 Foundry St, South Easton, MA 02375",www.stitech.edu
167899,Springfield College,Mary-Beth Cooper,President,"4,137,483,116",221100,"263 Alden St, Springfield, MA 01109-3797",www.springfield.edu/
167905,Springfield Technical Community College,Dr. John Cook,President,"4,137,817,822",807800,"1 Armory Sq, Springfield, MA 01105-1296",www.stcc.edu
167987,University of Massachusetts-Dartmouth,Robert E. Johnson,Chancellor,"5,089,998,000",221000,"285 Old Westport Rd, North Dartmouth, MA 02747-2300",www.umassd.edu
167996,Stonehill College,"John F. Denning, C.S.C.",President,"5,085,651,000",221700,"320 Washington Street, Easton, MA 02357-6110",https://www.stonehill.edu
168005,Suffolk University,Marisa Kelly,President,"6,175,738,754",221800,"73 Tremont St., Boston, MA 02108-3901",https://www.suffolk.edu
168032,Rob Roy Academy-Taunton,Robert La Pierre,President CEO,"5,088,221,405",2137000,"1 School St, Taunton, MA 02780-5339",www.rob-roy.com
168148,Tufts University,Anthony Monaco,President,"6,176,285,000",221900,"Medford, MA 02155-5555",https://www.tufts.edu
168218,Wellesley College,Paula A. Johnson,President,"7,812,831,000",222400,"106 Central St, Wellesley, MA 02481-8203",www.wellesley.edu
168227,Wentworth Institute of Technology,Mark Thompson,President,"6,179,894,590",222500,"550 Huntington Ave, Boston, MA 02115",https://WIT.EDU
168254,Western New England University,Dr. Anthony S. Caprio,President,"4,137,823,111",222600,"1215 Wilbraham Rd, Springfield, MA 01119-2684",www1.wne.edu
168263,Westfield State University,Ramon Torrecilha,President,"4,135,725,300",218900,"577 Western Ave, Westfield, MA 01086-1630",www.westfield.ma.edu
168281,Wheaton College,Dennis M. Hanno,President,"5,082,868,200",222700,"26 E Main St, Norton, MA 02766-2322",www.wheatoncollege.edu
168342,Williams College,Maud S. Mandel,President,"4,135,973,131",222900,"880 Main St, Williamstown, MA 01267",https://www.williams.edu
168421,Worcester Polytechnic Institute,Laurie A. Leshin,President,"5,088,315,000",223300,"100 Institute Road, Worcester, MA 01609-2280",https://www.wpi.edu/
168430,Worcester State University,Barry M. Maloney,President,"5,089,298,000",219000,"486 Chandler St, Worcester, MA 01602-2597",https://www.worcester.edu
168528,Adrian College,Jeffrey R Docking,President,"5,172,655,161",223400,"110 S Madison St, Adrian, MI 49221-2575",www.adrian.edu
168546,Albion College,Mauri A. Ditzler,President,"5,176,291,000",223500,"611 E Porter St, Albion, MI 49224",www.albion.edu
168555,Hillsdale Beauty College,Haley Francis,Administrator,"5,174,374,670",2595700,"64 Waldron St, Hillsdale, MI 49242",www.hillsdalebeautycollege.com
168573,Northwestern Technological Institute,Lorne P Gauthier,School Director,"2,483,584,006",3124000,"24567 Northwestern Hwy Ste 200, Southfield, MI 48075",www.northwesterntech.edu
168591,Alma College,Jeff Abernathy,President,"9,894,637,111",223600,"614 W Superior, Alma, MI 48801-1599",alma.edu
168607,Alpena Community College,Donald MacMaster,President,"9,893,569,021",223700,"665 Johnson St, Alpena, MI 49707",www.alpenacc.edu
168740,Andrews University,Andrea Luxton,President,"8,002,532,874",223800,"4150 Administration Drive, Room 136, Berrien Springs, MI 49104",www.andrews.edu
168786,Aquinas College,Dr. Kevin Quinn,President,"6,166,328,900",223900,"1700 Fulton St. E, Grand Rapids, MI 49506-1801",www.aquinas.edu
168847,Baker College,Bart Daig,President,"9,897,293,500",467300,"1020 S Washington St, Owosso, MI 48867",www.baker.edu
168883,Bay de Noc Community College,Dr. Laura Coleman,President,"9,067,865,802",224000,"2001 N Lincoln Road, Escanaba, MI 49829-2511",https://www.baycollege.edu
168892,Bayshire Academy of Beauty Craft Inc,James F Goodrow,President,"9,898,944,923",2285700,"917 Saginaw St, Bay City, MI 48708-5614",www.bayshirebeautyacademy.edu
169080,Calvin University,Michael K. Le Roy,President,"6,165,266,000",224100,"3201 Burton Street SE, Grand Rapids, MI 49546",www.calvin.edu
169099,Calvin Theological Seminary,Julius T. Medenblik,President,"6,169,576,036",224200,"3233 Burton St SE, Grand Rapids, MI 49546-4387",www.calvinseminary.edu
169187,Carnegie Institute,Linda M. Ingraham,VP & School Co-Director,"2,485,891,078",761700,"550 Stephenson Hwy Suite 100, Troy, MI 48083",www.carnegie-institute.edu
169220,Michigan School of Psychology,"Fran Brown, PsyD",President,"2,484,761,122,100",2198900,"26811 Orchard Lake Rd., Farmington Hills, MI 48334-4512",www.msp.edu
169248,Central Michigan University,Robert O Davies,President,"9,897,744,000",224300,"106 Warriner Hall, Mount Pleasant, MI 48859",https://www.cmich.edu
169275,Mott Community College,Dr. Beverly Walker-Griffea,President,"8,107,620,200",226100,"1401 E Court St, Flint, MI 48503-2089",https://www.mcc.edu
169284,Empire Beauty School-Michigan,Franklin K. Schoeneman,Chairman/CEO,"8,009,204,593",817800,"3583 Alpine Ave NW, Grand Rapids, MI 49544",www.empire.edu
169327,Cleary University,Jayson Boyers,President/CEO,"8,006,861,883",224600,"3750 Cleary Drive, Howell, MI 48843",www.cleary.edu
169363,Concordia University-Ann Arbor,Rev. Dr. Ryan Peterson,"VP of Administration, Office of the President","7,349,957,300",384256,"4090 Geddes Rd, Ann Arbor, MI 48105",https://www.cuaa.edu
169424,Cranbrook Academy of Art,Susan Ewing,Director,"2,486,453,300",224800,"39221  Woodward Avenue, Bloomfield Hills, MI 48304",https://cranbrookart.edu/
169442,College for Creative Studies,Donald Tuski,President,"3,136,647,400",677100,"201 E Kirby, Detroit, MI 48202",https://www.collegeforcreativestudies.edu
169479,Davenport University,Richard Pappas,President,"6,166,987,111",224900,"6191 Kraft Avenue S.E., Grand Rapids, MI 49512-9396",www.davenport.edu
169503,David Pressley School of Cosmetology,Michelle Gutek,President,"2,485,485,090",1082700,"1127 S Washington St, Royal Oak, MI 48067-3219",davidpressleyschool.com
169521,Delta College,Jean Goodnow,President,"9,896,869,000",225100,"1961 Delta Road, University Center, MI 48710",https://www.delta.edu
169576,Detroit Business Institute-Downriver,Pradeep,Singh,"7,344,790,660",3005700,"19100 Fort St, Riverview, MI 48193",www.dbidownriver.edu
169628,Michigan State University-College of Law,Melanie Jacobs,Interim Dean,"5,174,326,800",225400,"648 N. Shaw Lane, Room 368, East Lansing, MI 48824-1300",www.law.msu.edu
169655,MIAT College of Technology,Jennifer Paugh,Campus President,"7,344,232,100",2060300,"2955 S Haggerty, Canton, MI 48188",www.miat.edu
169716,University of Detroit Mercy,Dr. Antoine Garibaldi,President,"3,139,931,000",232300,"4001 W McNichols Rd, Detroit, MI 48221-3038",www.udmercy.edu
169761,Dorsey School of Business-Woodhaven,Golda Szydlowski,Managing Director,"7,342,855,400",469200,"19810 West Road, Woodhaven, MI 48183",www.dorsey.edu
169798,Eastern Michigan University,James M. Smith,President,"7,344,878,834",225900,"401 Pierce Hall, Ypsilanti, MI 48197",www.emich.edu
169813,Creative Hair School of Cosmetology,Corinthian Carouthers,President,"8,107,874,247",4055300,"4205 Miller Rd Suite 4-7, Flint, MI 48507",creativehairschool.com
169910,Ferris State University,David L. Eisler,President,"2,315,912,000",226000,"1201 S State St, Big Rapids, MI 49307-2251",www.ferris.edu/
169947,Flint Institute of Barbering Inc,Martha A. Poulos,Director/President,"8,102,324,711",1109800,"3214 Flushing Road, Flint, MI 48504-4395",www.flintinstituteofbarberinginc.com
169974,Glen Oaks Community College,David H. Devier,President,"26,946,799,450",226300,"62249 Shimmel Rd, Centreville, MI 49032-9719",www.glenoaks.edu/
169983,Kettering University,"Robert K. McMahan, Jr.",President,"8,009,554,464",226200,"1700 University Avenue, Flint, MI 48504-6214",https://www.kettering.edu/
169992,Gogebic Community College,Dr. George McNulty,President,"9,069,324,231",226400,"E4946 Jackson Rd, Ironwood, MI 49938",www.gogebic.edu
170000,Grace Christian University,Kenneth B. Kemper,President,"6,165,382,330",226500,"1011 Aldon SW, Wyoming, MI 49509",www.gracechristian.edu/
170037,Cornerstone University,Joseph M. Stowell,President,"6,169,495,300",226600,"1001 E Beltline Ave NE, Grand Rapids, MI 49525-5897",www.cornerstone.edu
170055,Grand Rapids Community College,"Bill Pink, PhD",President,"6,162,344,000",226700,"143 Bostwick Ave NE, Grand Rapids, MI 49503-3295",https://www.grcc.edu
170082,Grand Valley State University,Philomena V. Mantella,President,"6,163,312,020",226800,"1 Campus Dr, Allendale, MI 49401-9403",www.gvsu.edu
170091,Great Lakes Christian College,Lawrence L Carter,President,"5,173,210,242",226900,"6211 W Willow Hwy, Lansing, MI 48917-1299",www.glcc.edu
170240,Henry Ford College,Russell Kavalhuna,President,"3,138,459,600",227000,"5101 Evergreen Rd, Dearborn, MI 48128-1495",https://www.hfcc.edu
170301,Hope College,Matthew Scogin,President,"6,163,957,000",227300,"100 E. 8th Street, Suite 260, Holland, MI 49422-9000",https://www.hope.edu
170444,Jackson College,"Daniel J. Phelan, Ph.D.",President and CEO,"5,177,870,800",227400,"2111 Emmons Rd, Jackson, MI 49201-8399",www.jccmi.edu
170532,Kalamazoo College,Jorge G. Gonzalez,President,"2,693,377,000",227500,"1200 Academy St, Kalamazoo, MI 49006-3295",www.kzoo.edu
